time,cpu@tsung_controller@ip-172-31-45-17 
0,2.8377067473505355 
10,0.45045045045045046 
20,0.3003003003003003 
30,0.050075112669003496 
40,0.050075112669003496 
50,0.050075112669003496 
60,0.050075112669003496 
70,0.050075112669003496 
80,0.050075112669003496 
90,0.050075112669003496 
100,0.050075112669003496 
110,0.050075112669003496 
120,0.050075112669003496 
130,0.050075112669003496 
140,0.050075112669003496 
150,0.050075112669003496 
160,0.050075112669003496 
170,0.050075112669003496 
180,0.050075112669003496 
190,0.050075112669003496 
200,0.050075112669003496 
210,0.050075112669003496 
220,0.050075112669003496 
230,0.050075112669003496 
240,0.050075112669003496 
250,0.050075112669003496 
260,0.050075112669003496 
270,0.050075112669003496 
280,0.050075112669003496 
290,0.050075112669003496 
300,0.050075112669003496 
310,0.050075112669003496 
320,0.050075112669003496 
330,0.05002501250625312 
340,0.0 
350,0.0 
353,0.0 
