time,load@tsung_controller@ip-172-31-0-234 
0,0.4609375 
10,0.390625 
20,0.328125 
30,0.28125 
40,0.23828125 
50,0.19921875 
60,0.171875 
70,0.140625 
80,0.12109375 
90,0.1015625 
100,0.078125 
110,0.0703125 
120,0.05859375 
130,0.05078125 
140,0.0390625 
150,0.0390625 
160,0.0390625 
170,0.0390625 
180,0.0390625 
190,0.0390625 
200,0.0390625 
210,0.0390625 
220,0.0390625 
230,0.0390625 
240,0.0390625 
250,0.0390625 
260,0.0390625 
270,0.0390625 
280,0.0390625 
290,0.0390625 
300,0.0390625 
310,0.0390625 
320,0.0390625 
330,0.0390625 
340,0.0390625 
350,0.0390625 
